INFO 2025-08-09 13:33:19,396 basehttp 30052 25112 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,399 basehttp 30052 6456 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,401 basehttp 30052 26616 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,403 basehttp 30052 27236 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,403 basehttp 30052 24644 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,413 basehttp 30052 24644 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,416 basehttp 30052 8072 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-09 13:33:19,420 basehttp 30052 24644 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,426 basehttp 30052 24644 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,474 basehttp 30052 24644 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-08-09 13:33:19,474 basehttp 30052 8072 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-08-09 13:33:30,224 basehttp 30052 8072 "GET /admin/ HTTP/1.1" 200 17803
INFO 2025-08-09 13:33:30,260 basehttp 30052 8072 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-08-10 17:44:52,133 autoreload 25768 32620 Watching for file changes with StatReloader
INFO 2025-08-10 17:49:25,929 autoreload 13372 3656 Watching for file changes with StatReloader
INFO 2025-08-10 17:50:27,613 basehttp 13372 33072 "GET /admin/ HTTP/1.1" 200 17803
INFO 2025-08-10 17:50:27,671 basehttp 13372 33072 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,672 basehttp 13372 11036 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,676 basehttp 13372 23908 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,677 basehttp 13372 21440 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,678 basehttp 13372 30644 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,678 basehttp 13372 3208 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-08-10 17:50:27,685 basehttp 13372 3208 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
WARNING 2025-08-10 17:50:27,905 log 13372 3208 Not Found: /favicon.ico
WARNING 2025-08-10 17:50:27,905 basehttp 13372 3208 "GET /favicon.ico HTTP/1.1" 404 2212
INFO 2025-08-10 17:50:31,037 basehttp 13372 3208 "POST /admin/logout/ HTTP/1.1" 200 3568
INFO 2025-08-10 17:50:32,896 basehttp 13372 3208 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-10 17:50:33,058 basehttp 13372 3208 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-08-10 17:50:33,193 basehttp 13372 3208 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-08-10 17:50:42,232 basehttp 13372 3208 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-08-10 17:50:42,278 basehttp 13372 3208 "GET /admin/ HTTP/1.1" 200 17803
INFO 2025-08-10 17:50:45,187 basehttp 13372 3208 "GET /admin/companies/company/ HTTP/1.1" 200 25897
INFO 2025-08-10 17:50:45,259 basehttp 13372 3208 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-08-10 17:50:45,273 basehttp 13372 3208 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-08-10 17:50:45,289 basehttp 13372 3208 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-08-10 17:50:45,328 basehttp 13372 30644 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 17:50:45,366 basehttp 13372 3208 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-08-10 17:50:45,367 basehttp 13372 30644 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-08-10 17:50:58,293 basehttp 13372 30644 "GET /admin/companies/jobsource/ HTTP/1.1" 200 21958
INFO 2025-08-10 17:50:58,343 basehttp 13372 30644 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 17:50:58,357 basehttp 13372 3208 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-08-10 17:51:01,281 basehttp 13372 3208 "GET /admin/companies/jobsource/1/change/ HTTP/1.1" 200 24569
INFO 2025-08-10 17:51:01,351 basehttp 13372 30644 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 17:51:01,375 basehttp 13372 3208 "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-08-10 17:51:01,403 basehttp 13372 3208 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
INFO 2025-08-10 17:51:16,532 basehttp 13372 3208 "GET /admin/applications/application/ HTTP/1.1" 200 21936
INFO 2025-08-10 17:51:16,606 basehttp 13372 3208 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 17:51:20,929 basehttp 13372 3208 "GET /admin/companies/ HTTP/1.1" 200 6134
INFO 2025-08-10 17:51:22,266 basehttp 13372 3208 "GET /admin/companies/company/ HTTP/1.1" 200 25897
INFO 2025-08-10 17:51:22,336 basehttp 13372 3208 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 17:51:30,429 basehttp 13372 3208 "GET /admin/companies/jobsource/ HTTP/1.1" 200 21958
INFO 2025-08-10 17:51:30,484 basehttp 13372 3208 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:00:44,068 basehttp 13372 33856 "GET /admin/companies/jobsource/ HTTP/1.1" 200 21957
INFO 2025-08-10 18:00:44,107 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:00:47,316 basehttp 13372 33856 "GET /admin/companies/company/ HTTP/1.1" 200 26396
INFO 2025-08-10 18:00:47,381 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:00,236 basehttp 13372 33856 "GET /admin/companies/jobsource/ HTTP/1.1" 200 21957
INFO 2025-08-10 18:01:00,302 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:04,728 basehttp 13372 33856 "GET /admin/companies/jobsource/1/change/ HTTP/1.1" 200 24568
INFO 2025-08-10 18:01:04,797 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:10,642 basehttp 13372 33856 "GET /admin/companies/jobsource/1/history/ HTTP/1.1" 200 15329
INFO 2025-08-10 18:01:20,408 basehttp 13372 33856 "GET /admin/applications/application/ HTTP/1.1" 200 22015
INFO 2025-08-10 18:01:20,474 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:31,611 basehttp 13372 33856 "GET /admin/jobs/job/ HTTP/1.1" 200 95866
INFO 2025-08-10 18:01:31,681 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:47,977 basehttp 13372 33856 "GET /admin/jobs/job/126/change/ HTTP/1.1" 200 39123
INFO 2025-08-10 18:01:48,040 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:01:48,116 basehttp 13372 27484 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-08-10 18:01:48,116 basehttp 13372 33856 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-08-10 18:03:45,533 basehttp 13372 33856 "GET /admin/jobs/job/ HTTP/1.1" 200 95866
INFO 2025-08-10 18:03:45,596 basehttp 13372 33856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:10:46,761 basehttp 13372 27308 "GET /admin/jobs/job/ HTTP/1.1" 200 100953
INFO 2025-08-10 18:10:46,824 basehttp 13372 27308 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:10:58,159 basehttp 13372 27308 "GET /admin/jobs/job/?p=2 HTTP/1.1" 200 44195
INFO 2025-08-10 18:10:58,215 basehttp 13372 27308 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:10:58,225 basehttp 13372 18856 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-08-10 18:19:52,656 basehttp 13372 28428 "GET /admin/auth/group/ HTTP/1.1" 200 16725
INFO 2025-08-10 18:19:52,743 basehttp 13372 28428 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:19:55,608 basehttp 13372 28428 "GET /admin/auth/user/ HTTP/1.1" 200 20302
INFO 2025-08-10 18:19:55,718 basehttp 13372 28428 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:20:00,056 basehttp 13372 28428 "GET /admin/auth/user/add/ HTTP/1.1" 200 68764
INFO 2025-08-10 18:20:00,197 basehttp 13372 28428 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:20:00,225 basehttp 13372 27784 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-08-10 18:20:00,301 basehttp 13372 29992 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
INFO 2025-08-10 18:20:00,323 basehttp 13372 27784 "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-08-10 18:20:00,571 basehttp 13372 27784 "GET /static/admin/img/inline-delete.svg HTTP/1.1" 200 537
INFO 2025-08-10 18:20:23,452 basehttp 13372 27784 "GET /admin/companies/company/ HTTP/1.1" 200 63616
INFO 2025-08-10 18:20:23,528 basehttp 13372 27784 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:20:26,411 basehttp 13372 27784 "GET /admin/auth/user/ HTTP/1.1" 200 20302
INFO 2025-08-10 18:20:26,474 basehttp 13372 27784 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:20:27,683 basehttp 13372 27784 "GET /admin/auth/user/1/change/ HTTP/1.1" 200 82932
INFO 2025-08-10 18:20:27,745 basehttp 13372 29992 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:20:27,781 basehttp 13372 27784 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-08-10 18:20:27,781 basehttp 13372 28428 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-08-10 18:20:27,858 basehttp 13372 27784 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-08-10 18:22:26,254 basehttp 13372 27784 "POST /admin/auth/user/1/change/ HTTP/1.1" 200 84576
INFO 2025-08-10 18:22:26,312 basehttp 13372 27784 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:23:50,104 basehttp 13372 27784 "POST /admin/auth/user/1/change/ HTTP/1.1" 200 85040
INFO 2025-08-10 18:23:50,174 basehttp 13372 27784 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-10 18:24:31,326 basehttp 13372 27784 "GET /admin/auth/user/ HTTP/1.1" 200 20302
INFO 2025-08-10 18:24:31,383 basehttp 13372 27784 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
